Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_vpt,volume_nvi,volatility_atr,volatility_bbh,volatility_bbl,volatility_bbm,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kchi,volatility_kcli,volatility_dch,volatility_dcl,volatility_dchi,volatility_dcli,trend_macd,trend_macd_signal,trend_macd_diff,trend_ema_fast,trend_ema_slow,trend_adx,trend_adx_pos,trend_adx_neg,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,momentum_rsi,momentum_mfi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,others_dr,others_dlr,others_cr
2017/6/14,20.4,20.549999,20.25,20.549999,17.294527,8443000,8809405.742,0,1,0,0,383167.8632,1000,0.27562622,20.549999,20.549999,20.549999,0,0,20.44999933,20.74999833,20.15000033,0,0,20.549999,20.549999,0,0,0,0,0,20.549999,20.549999,0,0,0,1,1,0,4.377907722,1,0,-0.892210569,45.38712848,45.38712848,0,20.3999995,20.3999995,19.68218752,19.74860578,4,4,0,50,100,100,100,100,100,0,0,4.538712848,0,0
2017/6/15,20.5,20.6,20.299999,20.549999,17.294527,9767000,14954279.07,0,0.82121247,0,1.54E-09,383203.5258,1000,0.277367275,20.549999,20.549999,20.549999,0,0,20.466666,20.766666,20.166666,0,0,20.549999,20.549999,0,0,0,0,0,20.549999,20.549999,0,0,0,1,1,0,0,2.000001646,66.66666667,-0.892210569,45.38712848,45.38712848,0,20.425,20.425,19.68218752,19.74860578,4,4,0,50,100,100,95.80602963,85.714,92.857,-14.286,0,0,0,0
2017/6/16,20.549999,20.549999,20.450001,20.5,17.252451,6036000,6511279.072,-6036000,0.616773038,120347.593,1.18E-09,-14685.83838,997.5669585,0.264698041,20.59106654,20.47559879,20.53333267,0,0,20.47777733,20.71111,20.24444467,0,0,20.549999,20.5,0,0,-0.001550466,-0.000635437,-0.000915029,20.53048438,20.53203484,0,0,0,1,1,0,-0.013213848,2.818420715,80.00095999,-0.875544236,44.53930507,45.10452068,-0.56521561,20.425,20.425,19.68218752,19.74860578,4,12,-8,0,58.2526624,97.65663251,92.26131717,71.42857143,85.71419048,-28.57142857,0,-0.243304148,-0.243600614,-0.243304148
2017/6/19,20.549999,20.65,20.450001,20.6,17.336609,8798000,4398978.005,2762000,0.585681427,-48450.969,1.17E-09,28231.23479,997.5669585,0.260076681,20.63164916,20.46834984,20.5499995,0,0,20.49999975,20.724999,20.2750005,0,0,20.6,20.5,0,0,0.001392812,5.16E-05,0.001341172,20.55242774,20.55103493,0,0,0,1,1,0,-0.002526565,3.673122318,133.3328333,-0.892211069,45.38715392,45.17517899,0.21197493,20.45,20.45,19.68218752,19.74860578,16,12,4,69.76786371,74.07775312,96.44677367,89.94778591,87.5,81.54752381,-12.5,0,0.487804878,0.486618965,0.24331388
2017/6/20,20.6,20.6,20.450001,20.5,17.252451,8572000,1541568.475,-5810000,0.396382342,0,7.66E-10,1305.422685,992.7244005,0.25221399,20.62366536,20.45633384,20.5399996,0,0,20.5033332,20.7133324,20.293334,0,0,20.6,20.5,0,0,-0.001016408,-0.000266081,-0.000750327,20.53818331,20.53919972,0,0,0,1,1,0,-0.003739585,4.508072389,28.98616886,-0.882211169,44.87845478,45.11583415,-0.237379365,20.45,20.45,19.68218752,19.74860578,16,12,4,38.6522603,54.13327004,93.2292718,84.77658947,62.5,73.80952381,-37.5,0,-0.485436893,-0.486618965,-0.243304148
2017/6/21,20.5,20.549999,20.450001,20.5,17.252451,14076000,-2857409.529,0,0.296197794,-527800,5.77E-10,-41611.65049,992.7244005,0.241341419,20.61498233,20.45168367,20.533333,0,0,20.50277767,20.69444333,20.311112,0,0,20.6,20.5,0,0,-0.00244557,-0.000856844,-0.001588727,20.52890276,20.53134833,0,0,0,1,1,0,-0.005947303,5.291967756,-7.1424898,-0.875544569,44.53932203,45.01974879,-0.480426769,20.45,20.45,19.68218752,19.74860578,16,12,4,38.6522603,54.13327004,91.00281749,82.78050505,62.5,70.83333333,-37.5,0.0175001,0,0,-0.243304148
2017/6/22,20.549999,20.700001,20.35,20.4,17.168291,18906000,-13504301.15,-24716000,0.040102233,-1033400,5.58E-10,-92224.39024,992.7244005,0.249102818,20.63964168,20.38892917,20.51428543,0,0,20.49999995,20.71428495,20.28571495,0,0,20.6,20.4,0,0,-0.00785015,-0.002626663,-0.005223488,20.50013856,20.50798871,0,0,0,1,1,0,-0.011907818,6.290790644,-46.66512002,-0.856496998,43.57036402,44.81269383,-1.242329805,20.4750005,20.4750005,19.68218752,19.74860578,16,28,-12,24.2520867,33.98512186,87.66925549,71.32214339,33.33325926,52.77775309,-66.66674074,0.027143086,-0.487804878,-0.488998529,-0.729922177
2017/6/23,20.35,20.4,20,20.15,16.957895,28662000,-20669801.15,-53378000,-0.040421786,-5105100,-1.70E-10,-443474.3902,992.7244005,0.259881188,20.75127628,20.18622322,20.46874975,0,0,20.46041663,20.697916,20.22291725,0,0,20.6,20.15,0,0,-0.02323782,-0.007579911,-0.015657908,20.42707004,20.45030786,0,0,0,1,1,0,-0.02588016,7.440648554,-257.0042708,-0.810961319,41.25394482,44.3678502,-3.11390538,20.3500005,20.3500005,19.68218752,19.74860578,16,32,-16,11.68953331,21.84142469,81.54052093,55.02578606,21.42854082,39.08726669,-78.57145918,0.003750238,-1.225490196,-1.233061246,-1.946467248
2017/6/26,20.200001,20.299999,20.1,20.25,17.042053,16048000,858620.3606,-37330000,0.032270818,428700,-1.48E-10,-271607.3201,997.6510724,0.255603889,20.74629004,20.1425984,20.44444422,0,0,20.43333326,20.66666593,20.20000059,0,0,20.6,20.15,0,0,-0.028578554,-0.012430702,-0.016147852,20.39203928,20.42061784,0,0,0,1,1,0,-0.037057333,8.508064604,-139.2858257,-0.786655791,40.01751236,43.88447933,-3.866966972,20.3500005,20.3500005,19.68218752,19.74860578,16,32,-16,28.72879611,34.88944362,76.92390199,53.29193615,35.71423469,30.15867826,-64.28576531,-0.037777678,0.496277916,0.495050516,-1.459849219
2017/6/27,20.25,20.6,20.25,20.5,17.252451,22368000,17610406.07,-14962000,0.094839299,-2202900,2.59E-10,355790.828,997.6510724,0.262346468,20.73674367,20.16325593,20.4499998,0,0,20.43499993,20.67999933,20.19000053,0,0,20.6,20.15,0,0,-0.019074006,-0.013919188,-0.005154818,20.4124978,20.4315718,0,0,0,1,1,0,-0.03944277,9.634829614,10.63834063,-0.792211369,40.30012695,43.31925694,-3.019129991,20.3500005,20.3500005,19.68218752,19.74860578,16,32,-16,54.2129116,47.29485021,73.645116,56.52470083,71.42846939,42.85708163,-28.57153061,-0.0575,1.234567901,1.227009259,-0.243304148
